date,lat,lng,unit,type_of_btg,country
2022-03-27,50.492187,30.166542,104th Guards Air Assault Regiment,vdv,ru
2022-03-27,50.646655,30.258347,137th Guards Airborne Regiment,vdv,ru
2022-03-27,50.568989,30.263795,51st Guards Airborne Regiment,vdv,ru
2022-03-31,50.723595,30.333666,45th Separate Guards Special Purpose Brigade,vdv,ru
2022-03-31,50.468224,30.024069,37th Separate Guards Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,50.518497,29.901608,5th Separate Guards Tank Brigade,tank,ru
2022-03-31,50.555056,29.835300,36th Separate Guards Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,50.666389,29.827981,36th Separate Guards Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,50.534912,30.180912,64th Separate Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,50.923020,29.667952,155th Separate Guards Naval Infantry Brigade,motor_rifle,ru
2022-03-31,51.295433,29.387416,69th Separate Covering Brigade,motor_rifle,ru
2022-03-31,51.011045,29.682901,69th Separate Covering Brigade,motor_rifle,ru
2022-03-31,51.570318,31.125076,35th Separate Guards Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,50.636289,31.649084,6th Guards Tank Regiment,tank,ru
2022-03-31,46.736885,32.211150,255th Guards Motorized Rifle Regiment,motor_rifle,ru
2022-03-31,51.289892,33.404963,15th Separate Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,51.201556,33.461418,15th Separate Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,50.961234,34.928287,27th Separate Guards Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,50.816086,35.281824,1st Guards Motorized Rifle Regiment,motor_rifle,ru
2022-03-31,50.437619,35.605503,423rd Guards Motorized Rifle Regiment,motor_rifle,ru
2022-03-31,50.228508,36.162083,200th Separate Motorized Rifle Brigade,motor_rifle,ru
2022-03-31,50.030701,36.562979,138th Separate Guards Motorized Rifle Brigade,motor_rifle,ru
